Device: Apple iPhone11,8; eSense app version: 4.9.0; ios version: 14.0;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;HRV-Grabación-05012021-205653;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);05.01.21 20:56:53;;;;;;
TIEMPO (HH:MM:SS);00:11:19;;;;;;
MÁXIMO;120.7 HR;;;;;;
MÍNIMO;62.6 HR;;;;;;
DIFERENCIA MIN/MAX;58.1 HR;;;;;;
MEDIA DE LA SESIÓN;78.39 HR;;;;;;
;;;;;;;
SDNN;50.557 ms;;;;;;
RMSSD;33.701 ms;;;;;;
NN50;99;;;;;;
PNN50;11.237 %;;;;;;
ÍNDICE DE ESTRÉS;60.188;;;;;;
RR PROMEDIO;768.8 ms;;;;;;
HR PROMEDIO;78.0 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;53;;;;;;
CORAZONES RARANJAS;28;;;;;;
CORAZONES AMAARILLOS;40;;;;;;
CORAZONES VERDES;15;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
0;83.7;717;0.10;0;20:56:57:424;;
0.722;83.1;722;0.00;0;20:56:58:859;;
1.461;81.2;739;0.00;0;20:56:59:380;;
2.175;84.0;714;0.00;0;20:56:59:923;;
2.891;83.8;716;0.00;0;20:57:00:460;;
3.644;79.7;753;1.66;0;20:57:01:541;;
4.445;74.9;801;1.66;0;20:57:02:088;;
5.258;73.8;813;1.77;0;20:57:03:164;;
6.088;72.3;830;1.82;0;20:57:03:700;;
6.877;76.0;789;1.84;0;20:57:04:784;;
7.592;83.9;715;1.85;0;20:57:05:324;;
8.260;89.8;668;2.25;0;20:57:05:859;;
8.972;84.3;712;3.26;0;20:57:06:944;;
9.718;80.4;746;5.32;0;20:57:07:479;;
10.502;76.5;784;6.87;0;20:57:08:561;;
11.337;71.9;835;7.65;0;20:57:09:100;;
12.164;72.6;827;9.12;0;20:57:10:188;;
12.962;75.2;798;10.21;0;20:57:10:729;;
13.686;82.9;724;11.31;0;20:57:11:259;;
14.408;83.1;722;12.36;0;20:57:12:340;;
15.131;83.0;723;13.13;0;20:57:12:879;;
15.851;83.3;720;14.05;0;20:57:13:423;;
16.516;90.2;665;14.48;0;20:57:14:506;;
17.209;86.6;693;14.90;0;20:57:15:046;;
17.923;84.0;714;15.11;0;20:57:15:579;;
18.685;78.7;762;15.26;0;20:57:16:123;;
19.481;75.4;796;15.31;0;20:57:17:204;;
20.307;72.6;826;15.35;0;20:57:17:741;;
21.122;73.6;815;15.46;0;20:57:18:843;;
21.923;74.9;801;15.54;0;20:57:19:904;;
22.761;71.6;838;15.63;0;20:57:20:448;;
23.608;70.8;847;15.71;0;20:57:21:522;;
24.432;72.8;824;15.80;0;20:57:22:065;;
25.188;79.4;756;15.87;0;20:57:23:141;;
25.909;83.2;721;15.96;0;20:57:23:678;;
26.632;83.0;723;16.05;0;20:57:24:227;;
27.415;76.6;783;16.13;0;20:57:25:307;;
28.218;74.7;803;16.25;0;20:57:25:839;;
28.993;77.4;775;16.28;0;20:57:26:920;;
29.800;74.3;807;16.27;0;20:57:27:459;;
30.654;70.3;854;16.17;0;20:57:28:550;;
31.560;66.2;906;15.98;0;20:57:29:078;;
32.467;66.2;907;15.61;0;20:57:30:712;;
33.320;70.3;853;15.24;0;20:57:31:241;;
34.130;74.1;810;14.77;0;20:57:31:778;;
34.920;75.9;790;14.44;0;20:57:32:862;;
35.727;74.3;807;14.17;0;20:57:33:398;;
36.537;74.1;810;13.96;0;20:57:34:478;;
37.318;76.8;781;13.81;0;20:57:35:040;;
38.071;79.7;753;13.74;0;20:57:36:129;;
38.833;78.7;762;13.78;0;20:57:36:648;;
39.617;76.5;784;13.91;0;20:57:37:723;;
40.446;72.4;829;14.12;0;20:57:38:257;;
41.300;70.3;854;14.25;0;20:57:39:337;;
