Device: Apple iPhone11,8; eSense app version: 4.9.0; ios version: 14.0;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;ro-07012021-hr;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);07.01.21 19:44:36;;;;;;
TIEMPO (HH:MM:SS);00:15:56;;;;;;
MÁXIMO;105.6 HR;;;;;;
MÍNIMO;57.5 HR;;;;;;
DIFERENCIA MIN/MAX;48.1 HR;;;;;;
MEDIA DE LA SESIÓN;83.4 HR;;;;;;
;;;;;;;
SDNN;57.190 ms;;;;;;
RMSSD;28.929 ms;;;;;;
NN50;96;;;;;;
PNN50;7.289 %;;;;;;
ÍNDICE DE ESTRÉS;48.980;;;;;;
RR PROMEDIO;723.9 ms;;;;;;
HR PROMEDIO;82.9 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;54;;;;;;
CORAZONES RARANJAS;48;;;;;;
CORAZONES AMAARILLOS;53;;;;;;
CORAZONES VERDES;36;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
68.698;83.3;720;23.13;68.23;19:45:50:060;;
69.437;81.2;739;23.06;86.03;19:45:50:600;;
70.201;78.5;764;23.02;95.01;19:45:51:137;;
70.931;82.2;730;22.89;77.54;19:45:52:221;;
71.656;82.8;725;22.64;67.82;19:45:52:761;;
72.396;81.1;740;22.02;59.96;19:45:53:300;;
73.152;79.4;756;21.10;56.93;19:45:54:382;;
73.932;76.9;780;19.16;59.37;19:45:54:917;;
74.694;78.7;762;16.31;64.65;19:45:55:997;;
75.422;82.4;728;13.59;67.22;19:45:56:537;;
76.160;81.3;738;9.13;68.83;19:45:57:630;;
76.890;82.2;730;6.00;66.65;19:45:58:157;;
77.597;84.9;707;4.61;59.42;19:45:58:702;;
78.294;86.1;697;4.05;44.48;19:45:59:793;;
79.001;84.9;707;4.29;37.37;19:46:00:317;;
79.734;81.9;733;4.73;35.42;19:46:01:409;;
80.485;79.9;751;4.93;42.05;19:46:01:939;;
81.235;80.0;750;5.09;48.97;19:46:02:486;;
81.985;80.0;750;5.45;62.30;19:46:03:017;;
82.746;78.8;761;5.81;79.83;19:46:04:100;;
83.503;79.3;757;6.17;97.79;19:46:04:642;;
84.190;87.3;687;6.41;90.01;19:46:05:184;;
84.877;87.3;687;6.70;73.72;19:46:06:260;;
85.554;88.6;677;6.90;60.77;19:46:06:802;;
86.217;90.5;663;7.09;46.76;19:46:07:337;;
86.889;89.3;672;7.29;29.33;19:46:07:881;;
87.571;88.0;682;7.36;19.41;19:46:08:964;;
88.237;90.1;666;7.37;12.19;19:46:09:505;;
88.905;89.8;668;7.30;6.78;19:46:10:037;;
89.586;88.1;681;7.19;5.88;19:46:10:580;;
90.291;85.1;705;7.09;6.07;19:46:11:662;;
91.051;78.9;760;7.10;6.65;19:46:12:199;;
91.833;76.7;782;7.17;7.70;19:46:13:292;;
92.583;80.0;750;7.25;9.33;19:46:13:818;;
93.341;79.2;758;7.44;11.91;19:46:15:441;;
94.095;79.6;754;7.85;15.92;19:46:15:454;;
94.845;80.0;750;8.20;18.94;19:46:15:981;;
95.535;87.0;690;8.47;21.11;19:46:17:066;;
96.237;85.5;702;8.84;23.97;19:46:17:599;;
96.929;86.7;692;9.14;26.15;19:46:18:137;;
97.630;85.6;701;9.56;29.16;19:46:18:681;;
98.321;86.8;691;9.90;31.49;19:46:19:778;;
99.029;84.7;708;10.40;35.06;19:46:20:846;;
99.763;81.7;734;10.81;38.83;19:46:21:385;;
100.540;77.2;777;11.12;42.93;19:46:21:919;;
101.298;79.2;758;11.32;47.35;19:46:22:456;;
102.070;77.7;772;11.40;50.87;19:46:23:541;;
102.842;77.7;772;11.40;55.85;19:46:24:081;;
103.608;78.3;766;11.28;61.15;19:46:25:177;;
104.330;83.1;722;11.11;64.97;19:46:25:698;;
105.047;83.7;717;10.85;70.00;19:46:26:237;;
105.754;84.9;707;10.64;73.78;19:46:26:790;;
106.458;85.2;704;10.35;78.82;19:46:27:860;;
