ESTADÍSTICAS;;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;LF + HF;MARCAS DE TIEMPO;MARCADOR;
75.460;71.3;842;8.43;10.82;N.a.;18:57:52:226;;
76.333;68.7;873;7.98;20.66;N.a.;18:57:52:767;;
77.189;70.1;856;7.42;35.65;N.a.;18:57:53:315;;
77.995;74.4;806;6.91;51.04;N.a.;18:57:54:425;;
78.836;71.3;841;6.23;73.00;N.a.;18:57:54:969;;
79.690;70.3;854;5.74;93.70;N.a.;18:57:56:070;;
80.560;69.0;870;5.57;92.38;N.a.;18:57:57:159;;
81.430;69.0;870;5.52;82.90;N.a.;18:57:57:702;;
82.239;74.2;809;5.60;79.15;N.a.;18:57:58:790;;
83.059;73.2;820;5.51;75.25;N.a.;18:57:59:337;;
83.894;71.9;835;5.33;73.26;N.a.;18:58:00:437;;
84.734;71.4;840;5.01;72.74;N.a.;18:58:00:980;;
85.535;74.9;801;4.12;74.29;N.a.;18:58:02:075;;
86.377;71.3;842;3.38;73.42;N.a.;18:58:02:622;;
87.220;71.2;843;2.62;67.76;N.a.;18:58:03:170;;
88.001;76.8;781;2.31;60.27;N.a.;18:58:04:281;;
88.705;85.2;704;2.41;54.50;N.a.;18:58:04:823;;
89.389;87.7;684;3.02;57.84;N.a.;18:58:05:908;;
90.123;81.7;734;5.45;73.57;N.a.;18:58:06:459;;
90.956;72.0;833;8.20;91.75;N.a.;18:58:07:013;;
91.850;67.1;894;11.71;84.95;N.a.;18:58:08:098;;
92.762;65.8;912;14.05;69.34;N.a.;18:58:08:647;;
93.669;66.2;907;15.18;62.06;N.a.;18:58:09:743;;
94.548;68.3;879;15.72;61.54;N.a.;18:58:10:860;;
95.350;74.8;802;16.70;61.54;N.a.;18:58:11:381;;
96.140;75.9;790;17.87;61.54;N.a.;18:58:11:929;;
96.928;76.1;788;19.04;61.54;N.a.;18:58:13:026;;
97.725;75.3;797;20.02;61.54;N.a.;18:58:14:119;;
98.550;72.7;825;20.48;61.54;N.a.;18:58:14:667;;
99.341;75.9;791;20.51;61.54;N.a.;18:58:15:214;;
100.153;73.9;812;20.46;60.60;N.a.;18:58:16:312;;
100.976;72.9;823;19.99;52.70;N.a.;18:58:16:867;;
101.851;68.6;875;19.21;40.69;N.a.;18:58:17:952;;
102.660;74.2;809;17.84;22.55;N.a.;18:58:18:498;;
103.418;79.2;758;15.68;0.00;N.a.;18:58:20:169;;
104.197;77.0;779;12.87;0.00;N.a.;18:58:20:193;;
