Device: samsung SM-G950U1; eSense app version: 4.9.0; android version: 9;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;HRV-Grabación-15112020-164827;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);15.11.20 16:48:27;;;;;;
TIEMPO (HH:MM:SS);00:05:10;;;;;;
MÁXIMO;89.7 HR;;;;;;
MÍNIMO;62.9 HR;;;;;;
DIFERENCIA MIN/MAX;26.8 HR;;;;;;
MEDIA DE LA SESIÓN;72.37 HR;;;;;;
;;;;;;;
SDNN;61.316 ms;;;;;;
RMSSD;33.049 ms;;;;;;
NN50;46;;;;;;
PNN50;12.366 %;;;;;;
ÍNDICE DE ESTRÉS;70.252;;;;;;
RR PROMEDIO;833.8 ms;;;;;;
HR PROMEDIO;72.0 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;16;;;;;;
CORAZONES RARANJAS;13;;;;;;
CORAZONES AMAARILLOS;18;;;;;;
CORAZONES VERDES;15;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
69.325;82.4;728;5.21;87.98;16:49:41:265;;
70.075;80.0;750;8.26;92.31;16:49:41:801;;
70.884;74.2;809;9.42;85.83;16:49:42:915;;
71.709;72.7;825;9.95;83.58;16:49:43:448;;
72.517;74.3;808;10.26;83.33;16:49:44:549;;
73.307;75.9;790;10.53;83.33;16:49:45:652;;
74.052;80.5;745;10.63;82.06;16:49:45:681;;
74.788;81.5;736;10.62;79.24;16:49:46:739;;
75.524;81.5;736;10.59;74.24;16:49:47:276;;
76.244;83.3;720;10.52;68.72;16:49:47:831;;
76.999;79.5;755;10.33;60.71;16:49:48:939;;
77.814;73.6;815;10.19;54.71;16:49:49:475;;
78.704;67.4;890;10.00;47.29;16:49:50:566;;
79.575;68.9;871;9.86;41.00;16:49:51:111;;
80.467;67.3;892;9.83;34.27;16:49:52:771;;
81.362;67.0;895;9.97;28.40;16:49:53:303;;
82.278;65.5;916;10.32;23.94;16:49:53:849;;
83.175;66.9;897;10.86;20.92;16:49:54:964;;
84.044;69.0;869;11.76;19.14;16:49:56:035;;
84.849;74.5;805;12.53;19.05;16:49:56:586;;
85.674;72.7;825;13.29;19.05;16:49:57:700;;
86.501;72.6;827;13.54;19.28;16:49:58:226;;
87.346;71.0;845;13.58;19.69;16:49:59:330;;
88.191;71.0;845;13.66;20.13;16:49:59:878;;
88.989;75.2;798;13.74;20.72;16:50:00:977;;
89.886;66.9;897;13.71;21.41;16:50:01:512;;
90.827;63.8;941;13.47;22.57;16:50:02:619;;
91.772;63.5;945;12.99;25.19;16:50:03:713;;
92.670;66.8;898;12.58;29.95;16:50:04:254;;
93.478;74.3;808;11.94;42.24;16:50:05:358;;
94.318;71.4;840;10.73;60.62;16:50:05:900;;
95.180;69.6;862;9.62;75.80;16:50:06:990;;
96.064;67.9;884;8.50;97.58;16:50:08:092;;
96.920;70.1;856;7.82;81.83;16:50:08:628;;
97.768;70.8;848;6.89;57.97;16:50:09:744;;
98.634;69.3;866;5.90;45.76;16:50:10:271;;
99.509;68.6;875;5.28;43.81;16:50:11:384;;
100.404;67.0;895;5.05;47.48;16:50:12:465;;
101.304;66.7;900;4.48;54.38;16:50:13:014;;
102.153;70.7;849;4.19;62.57;16:50:14:125;;
103.048;67.0;895;4.06;72.66;16:50:14:650;;
103.960;65.8;912;3.93;90.70;16:50:15:762;;
104.885;64.9;925;3.98;95.53;16:50:16:847;;
105.761;68.5;876;4.02;84.63;16:50:17:962;;
106.603;71.3;842;4.51;90.49;16:50:18:495;;
107.500;66.9;897;5.25;84.76;16:50:19:581;;
108.449;63.2;949;6.14;62.83;16:50:20:677;;
109.324;68.6;875;6.27;69.84;16:50:21:231;;
110.136;73.9;812;5.68;79.54;16:50:21:774;;
111.013;68.4;877;4.79;85.05;16:50:22:877;;
111.883;69.0;870;4.38;86.86;16:50:23:963;;
112.692;74.2;809;3.98;91.14;16:50:25:616;;
113.507;73.6;815;4.03;100.00;16:50:25:642;;
114.337;72.3;830;4.26;90.46;16:50:26:150;;
115.144;74.3;807;4.14;86.16;16:50:26:696;;
115.996;70.4;852;3.35;97.77;16:50:27:819;;
116.876;68.2;880;2.06;65.02;16:50:28:899;;
117.713;71.7;837;2.26;56.00;16:50:29:435;;
118.586;68.7;873;3.33;56.00;16:50:30:546;;
119.499;65.7;913;4.73;56.00;16:50:31:089;;
120.422;65.0;923;5.44;56.00;16:50:32:182;;
121.342;65.2;920;5.56;56.00;16:50:33:286;;
122.211;69.0;869;5.56;56.00;16:50:33:814;;
123.068;70.0;857;5.83;70.63;16:50:34:922;;
123.934;69.3;866;6.26;94.19;16:50:36:008;;
124.801;69.2;867;6.56;88.92;16:50:36:552;;
125.661;69.8;860;6.89;71.23;16:50:37:659;;
126.473;73.9;812;7.58;36.42;16:50:38:204;;
127.254;76.8;781;8.11;10.63;16:50:39:840;;
128.096;71.3;842;8.97;0.00;16:50:39:857;;
129.019;65.0;923;9.69;0.00;16:50:41:484;;
129.973;62.9;954;10.07;0.00;16:50:42:588;;
130.888;65.6;915;9.92;0.00;16:50:43:119;;
131.725;71.7;837;8.24;86.43;16:50:43:670;;
132.564;71.5;839;7.17;77.44;16:50:44:218;;
133.444;68.2;880;6.54;66.46;16:50:45:329;;
134.353;66.0;909;6.16;70.69;16:50:46:408;;
135.267;65.6;914;5.84;78.14;16:50:46:956;;
136.123;70.1;856;5.59;84.87;16:50:48:058;;
136.952;72.4;829;5.10;90.57;16:50:49:151;;
137.814;69.6;862;4.37;93.23;16:50:50:261;;
138.687;68.7;873;3.72;93.84;16:50:50:287;;
139.566;68.3;879;3.18;94.61;16:50:51:369;;
140.463;66.9;897;3.11;95.21;16:50:52:432;;
141.318;70.2;855;3.39;96.07;16:50:53:525;;
142.193;68.6;875;3.67;97.37;16:50:54:082;;
143.115;65.1;922;4.00;99.69;16:50:55:172;;
144.048;64.3;933;4.24;98.25;16:50:56:279;;
144.989;63.8;941;4.27;95.68;16:50:56:814;;
145.879;67.4;890;4.01;93.50;16:50:57:913;;
146.759;68.2;880;3.78;93.18;16:50:59:008;;
147.678;65.3;919;3.60;94.74;16:50:59:559;;
148.615;64.0;937;3.52;96.86;16:51:00:650;;
149.540;64.9;925;3.42;98.97;16:51:01:756;;
150.453;65.7;913;3.29;98.91;16:51:02:290;;
151.330;68.4;877;3.19;97.29;16:51:03:388;;
152.245;65.6;915;3.32;97.24;16:51:03:932;;
153.161;65.5;916;3.69;98.59;16:51:05:026;;
154.088;64.7;927;4.32;98.50;16:51:06:124;;
155.003;65.6;915;4.77;95.86;16:51:06:670;;
155.858;70.2;855;5.11;95.44;16:51:07:778;;
156.680;73.0;822;4.59;97.98;16:51:08:857;;
157.522;71.3;842;3.64;87.60;16:51:09:401;;
158.397;68.6;875;3.10;76.85;16:51:10:508;;
159.284;67.6;887;3.18;69.98;16:51:11:047;;
160.135;70.5;851;3.65;71.72;16:51:12:154;;
160.996;69.7;861;4.49;79.81;16:51:12:687;;
161.903;66.2;907;5.36;89.29;16:51:13:804;;
162.806;66.4;903;6.12;98.81;16:51:14:882;;
163.664;69.9;858;6.22;90.64;16:51:15:425;;
164.466;74.8;802;5.63;87.76;16:51:16:529;;
165.300;71.9;834;4.24;91.37;16:51:17:068;;
166.156;70.1;856;3.04;95.65;16:51:18:175;;
167.017;69.7;861;2.18;99.94;16:51:18:716;;
167.876;69.8;859;1.92;96.81;16:51:19:812;;
168.711;71.9;835;2.12;96.83;16:51:20:908;;
169.589;68.3;878;2.63;99.99;16:51:21:451;;
170.450;69.7;861;3.13;95.98;16:51:22:557;;
171.325;68.6;875;3.73;91.87;16:51:23:098;;
172.222;66.9;897;4.58;86.66;16:51:24:204;;
173.050;72.5;828;4.66;91.01;16:51:24:735;;
173.888;71.6;838;4.46;99.34;16:51:25:854;;
174.769;68.1;881;4.12;92.06;16:51:26:924;;
175.685;65.5;916;3.80;82.75;16:51:27:472;;
176.569;67.9;884;3.84;80.07;16:51:28:577;;
177.421;70.4;852;4.02;83.11;16:51:29:112;;
178.326;66.3;905;4.22;89.05;16:51:30:224;;
179.249;65.0;923;4.47;99.18;16:51:31:315;;
180.174;64.9;925;4.60;92.53;16:51:32:403;;
181.074;66.7;900;4.62;84.14;16:51:32:962;;
181.927;70.3;853;4.50;76.28;16:51:34:042;;
182.793;69.3;866;4.35;71.04;16:51:34:591;;
183.699;66.2;906;4.18;68.60;16:51:35:690;;
184.606;66.2;907;4.00;68.42;16:51:36:792;;
185.515;66.0;909;3.88;68.42;16:51:37:329;;
186.371;70.1;856;3.78;68.42;16:51:38:428;;
187.188;73.4;817;3.74;68.42;16:51:38:974;;
188.029;71.3;841;3.74;68.42;16:51:40:074;;
