Device: samsung SM-G991B; eSense app version: 4.9.0; android version: 11;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;mati-25-04-2021;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);25.04.21 11:52:23;;;;;;
TIEMPO (HH:MM:SS);00:12:36;;;;;;
MÁXIMO;90.8 HR;;;;;;
MÍNIMO;62.2 HR;;;;;;
DIFERENCIA MIN/MAX;28.6 HR;;;;;;
MEDIA DE LA SESIÓN;74.05 HR;;;;;;
;;;;;;;
SDNN;58.443 ms;;;;;;
RMSSD;28.205 ms;;;;;;
NN50;77;;;;;;
PNN50;8.324 %;;;;;;
ÍNDICE DE ESTRÉS;66.651;;;;;;
RR PROMEDIO;814.5 ms;;;;;;
HR PROMEDIO;73.7 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;58;;;;;;
CORAZONES RARANJAS;24;;;;;;
CORAZONES AMAARILLOS;45;;;;;;
CORAZONES VERDES;24;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
75.514;76.5;784;9.66;92.43;11:53:44:528;;
76.288;77.5;774;9.30;92.12;11:53:45:620;;
77.053;78.4;765;8.82;91.28;11:53:46:168;;
77.829;77.3;776;8.58;90.35;11:53:46:714;;
78.637;74.3;808;8.40;89.16;11:53:47:812;;
79.495;69.9;858;8.31;87.78;11:53:48:361;;
80.358;69.5;863;8.33;86.45;11:53:49:456;;
81.223;69.4;865;8.39;84.83;11:53:50:546;;
82.032;74.2;809;8.42;82.91;11:53:51:091;;
82.836;74.6;804;8.15;81.55;11:53:51:640;;
83.676;71.4;840;7.71;80.98;11:53:52:739;;
84.567;67.3;891;7.00;81.08;11:53:53:835;;
85.492;64.9;925;6.44;81.28;11:53:54:380;;
86.384;67.3;892;5.74;81.52;11:53:56:022;;
87.301;65.4;917;5.30;81.68;11:53:57:119;;
88.222;65.1;921;5.15;81.78;11:53:57:661;;
89.132;65.9;910;5.36;81.82;11:53:58:215;;
90.019;67.6;887;5.87;81.82;11:53:59:307;;
90.812;75.7;793;6.40;82.90;11:53:59:854;;
91.605;75.7;793;6.66;85.54;11:54:00:404;;
92.416;74.0;811;7.03;89.21;11:54:01:495;;
93.268;70.4;852;7.44;94.34;11:54:02:590;;
94.143;68.6;875;7.72;99.56;11:54:03:138;;
94.965;73.0;822;8.01;88.11;11:54:04:233;;
95.791;72.6;826;7.99;82.17;11:54:04:783;;
96.642;70.5;851;7.69;80.40;11:54:05:876;;
97.509;69.2;867;6.55;87.61;11:54:06:426;;
98.384;68.6;875;5.25;93.65;11:54:07:522;;
99.250;69.3;866;4.16;66.59;11:54:08:080;;
100.082;72.1;832;3.72;48.95;11:54:09:164;;
100.890;74.3;808;3.74;44.44;11:54:09:711;;
101.716;72.6;826;3.82;44.44;11:54:10:803;;
102.503;76.2;787;3.91;44.44;11:54:11:353;;
103.266;78.6;763;3.95;44.44;11:54:12:446;;
104.007;81.0;741;3.95;44.44;11:54:12:997;;
104.714;84.9;707;3.95;44.44;11:54:13:543;;
105.410;86.2;696;4.10;47.16;11:54:15:185;;
106.112;85.5;702;4.51;54.43;11:54:15:203;;
106.809;86.1;697;5.15;65.79;11:54:15:730;;
107.508;85.8;699;5.78;77.00;11:54:16:826;;
108.255;80.3;747;6.36;87.39;11:54:17:375;;
109.012;79.3;757;7.45;93.13;11:54:17:925;;
109.805;75.7;793;8.49;74.62;11:54:19:018;;
110.613;74.3;808;9.29;60.30;11:54:19:574;;
111.445;72.1;832;10.12;44.67;11:54:20:658;;
112.270;72.7;825;10.74;32.19;11:54:21:209;;
113.083;73.8;813;11.14;23.56;11:54:22:302;;
113.845;78.7;762;11.64;12.14;11:54:22:851;;
114.585;81.1;740;12.00;3.36;11:54:23:944;;
115.315;82.2;730;12.49;0.00;11:54:24:493;;
116.028;84.2;713;12.86;0.00;11:54:25:041;;
116.735;84.9;707;13.44;0.00;11:54:25:586;;
117.422;87.3;687;13.92;0.00;11:54:26:685;;
118.129;84.9;707;14.31;0.00;11:54:27:233;;
118.847;83.6;718;14.57;0.00;11:54:27:776;;
119.594;80.3;747;14.69;0.00;11:54:28:875;;
120.374;76.9;780;14.67;0.00;11:54:29:426;;
121.166;75.8;792;14.51;0.00;11:54:30:515;;
121.947;76.8;781;14.32;0.00;11:54:31:063;;
122.749;74.8;802;14.15;0.00;11:54:31:612;;
123.575;72.6;826;14.05;8.39;11:54:32:709;;
124.384;74.2;809;13.94;21.98;11:54:33:250;;
125.127;80.8;743;13.86;35.58;11:54:34:346;;
125.875;80.2;748;13.82;45.78;11:54:34:897;;
126.622;80.3;747;13.79;59.38;11:54:35:996;;
127.366;80.6;744;13.77;71.72;11:54:36:539;;
128.098;82.0;732;13.75;76.45;11:54:37:084;;
128.804;85.0;706;13.69;85.45;11:54:37:633;;
129.521;83.7;717;13.61;92.47;11:54:39:276;;
130.254;81.9;733;13.50;97.51;11:54:39:827;;
131.009;79.5;755;13.39;99.99;11:54:40:375;;
131.793;76.5;784;13.18;98.43;11:54:40:927;;
132.558;78.4;765;12.79;98.72;11:54:41:463;;
133.288;82.2;730;12.18;98.62;11:54:42:561;;
134.023;81.6;735;11.27;96.73;11:54:43:110;;
134.776;79.7;753;10.01;91.37;11:54:44:203;;
135.541;78.4;765;8.84;85.28;11:54:44:747;;
136.309;78.1;768;7.68;77.93;11:54:45:300;;
137.098;76.0;789;6.52;68.07;11:54:46:397;;
137.864;78.3;766;5.85;60.47;11:54:46:939;;
138.595;82.1;731;5.28;55.82;11:54:48:033;;
139.320;82.8;725;5.12;56.98;11:54:48:578;;
140.078;79.2;758;5.18;64.89;11:54:49:130;;
140.859;76.8;781;5.35;76.35;11:54:50:227;;
141.659;75.0;800;5.48;87.64;11:54:50:771;;
142.437;77.1;778;5.58;98.71;11:54:51:327;;
143.235;75.2;798;5.69;93.04;11:54:52:419;;
144.025;75.9;790;5.83;88.26;11:54:52:964;;
144.828;74.7;803;6.02;86.96;11:54:54:057;;
145.587;79.1;759;6.18;86.96;11:54:54:604;;
146.365;77.1;778;6.34;86.96;11:54:55:698;;
147.126;78.8;761;6.55;86.96;11:54:56:253;;
147.868;80.9;742;6.72;86.96;11:54:56:802;;
148.562;86.5;694;6.87;86.96;11:54:57:893;;
149.237;88.9;675;7.01;86.96;11:54:58:440;;
149.909;89.3;672;7.10;86.11;11:54:58:988;;
150.570;90.8;661;7.36;82.66;11:55:00:077;;
151.231;90.8;661;7.59;79.47;11:55:00:628;;
151.905;89.0;674;7.90;75.08;11:55:01:173;;
152.609;85.2;704;8.21;70.81;11:55:01:722;;
153.322;84.2;713;8.53;65.84;11:55:02:276;;
154.048;82.6;726;8.82;60.45;11:55:03:373;;
154.757;84.6;709;9.17;52.68;11:55:03:911;;
155.459;85.5;702;9.63;43.16;11:55:04:470;;
156.137;88.5;678;9.88;34.30;11:55:05:007;;
156.830;86.6;693;9.81;30.26;11:55:06:102;;
157.531;85.6;701;9.67;28.66;11:55:06:650;;
158.235;85.2;704;9.35;34.08;11:55:07:743;;
158.928;86.6;693;8.34;49.33;11:55:08:295;;
159.631;85.3;703;6.92;76.63;11:55:08:838;;
160.324;86.6;693;5.52;88.34;11:55:09:389;;
161.043;83.4;719;4.86;67.55;11:55:10:480;;
161.771;82.4;728;4.54;49.52;11:55:11:035;;
162.523;79.8;752;4.64;45.00;11:55:11:586;;
163.291;78.1;768;4.91;45.00;11:55:12:672;;
164.038;80.3;747;5.44;45.00;11:55:13:227;;
164.771;81.9;733;5.94;45.00;11:55:13:776;;
165.492;83.2;721;6.66;49.12;11:55:14:863;;
166.210;83.6;718;6.71;54.33;11:55:15:411;;
166.922;84.3;712;6.73;58.46;11:55:15:959;;
167.643;83.2;721;6.85;66.06;11:55:17:053;;
168.388;80.5;745;6.90;75.52;11:55:18:151;;
169.140;79.8;752;6.84;86.09;11:55:18:167;;
169.878;81.3;738;6.70;97.17;11:55:19:243;;
170.644;78.3;766;6.57;90.31;11:55:19:791;;
171.428;76.5;784;6.51;80.76;11:55:20:883;;
172.220;75.8;792;6.44;71.16;11:55:21:431;;
173.026;74.4;806;6.43;63.74;11:55:22:527;;
173.848;73.0;822;6.45;53.35;11:55:23:621;;
174.680;72.1;832;6.52;42.24;11:55:24:175;;
175.509;72.4;829;6.62;32.95;11:55:24:717;;
176.277;78.1;768;6.75;24.73;11:55:25:814;;
177.027;80.0;750;6.90;19.20;11:55:26:363;;
177.778;79.9;751;7.11;16.35;11:55:26:909;;
178.528;80.0;750;7.31;16.20;11:55:28:009;;
179.312;76.5;784;7.50;18.73;11:55:28:563;;
