Device: Apple iPhone11,8; eSense app version: 4.9.0; ios version: 14.0;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;HRV-Grabación-25102020-174113;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);25.10.20 17:41:13;;;;;;
TIEMPO (HH:MM:SS);00:00:21;;;;;;
MÁXIMO;100.3 HR;;;;;;
MÍNIMO;72.6 HR;;;;;;
DIFERENCIA MIN/MAX;27.7 HR;;;;;;
MEDIA DE LA SESIÓN;86.64 HR;;;;;;
;;;;;;;
SDNN;59.976 ms;;;;;;
RMSSD;37.303 ms;;;;;;
NN50;5;;;;;;
PNN50;16.667 %;;;;;;
ÍNDICE DE ESTRÉS;104.270;;;;;;
RR PROMEDIO;697.4 ms;;;;;;
HR PROMEDIO;86.0 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;0;;;;;;
CORAZONES RARANJAS;0;;;;;;
CORAZONES AMAARILLOS;0;;;;;;
CORAZONES VERDES;4;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
0;87.3;687;0.10;100.00;17:41:17:894;;
0.670;89.6;670;0.00;100.00;17:41:18:418;;
1.327;91.3;657;0.00;100.00;17:41:19:498;;
1.952;96.0;625;0.00;100.00;17:41:20:036;;
2.564;98.0;612;0.00;100.00;17:41:20:576;;
3.177;97.9;613;0.00;100.00;17:41:21:117;;
3.775;100.3;598;0.00;100.00;17:41:21:656;;
4.378;99.5;603;0.00;100.00;17:41:22:205;;
4.996;97.1;618;0.00;100.00;17:41:23:276;;
5.679;87.8;683;0.00;100.00;17:41:23:822;;
6.460;76.8;781;6.12;100.00;17:41:24:356;;
7.287;72.6;827;8.43;100.00;17:41:25:436;;
8.016;82.3;729;9.47;100.00;17:41:25:976;;
8.744;82.4;728;11.25;100.00;17:41:26:518;;
9.462;83.6;718;12.08;100.00;17:41:27:597;;
10.206;80.6;744;12.94;100.00;17:41:28:137;;
10.956;80.0;750;14.44;100.00;17:41:28:691;;
11.679;83.0;723;16.48;100.00;17:41:29:765;;
12.390;84.4;711;17.99;100.00;17:41:30:300;;
13.095;85.1;705;20.00;100.00;17:41:31:393;;
13.829;81.7;734;21.49;100.00;17:41:31:918;;
14.553;82.9;724;23.31;100.00;17:41:32:456;;
15.322;78.0;769;24.58;100.00;17:41:33:540;;
16.112;75.9;790;25.25;100.00;17:41:34:079;;
16.875;78.6;763;25.22;100.00;17:41:35:174;;
17.579;85.2;704;24.78;100.00;17:41:35:702;;
18.229;92.3;650;24.24;100.00;17:41:36:240;;
18.894;90.2;665;23.80;100.00;17:41:36:776;;
19.558;90.4;664;23.14;100.00;17:41:37:318;;
20.236;88.5;678;22.11;100.00;17:41:38:401;;
