Device: Apple iPhone11,8; eSense app version: 4.5.91; ios version: 13.3.1;
DESCRIPCIÓN;VALOR;RR;Amplitud HRV
NOMBRE DE LA GRABACIÓN;F3;;;;;;;
eSense Pulse:;0000387;;;;;;;
FECHA (HH:MM:SS);15.06.20 15:58:40;;;;;;;
TIEMPO (HH:MM:SS);00:28:48;;;;;;;
MÁXIMO;111.7 HR;;;;;;;
MÍNIMO;64.3 HR;;;;;;;
DIFERENCIA MIN/MAX;47.4 HR;;;;;;;
MEDIA DE LA SESIÓN;82.66 HR;;;;;;;
;;;;;;;;
SDNN;54.070 ms;;;;;;;
RMSSD;37.568 ms;;;;;;;
NN50;338;;;;;;;
PNN50;13.984 %;;;;;;;
ÍNDICE DE ESTRÉS;36.267;;;;;;;
RR PROMEDIO;730.8 ms;;;;;;;
HR PROMEDIO;82.1 HR;;;;;;;
VALORES DE HR CORREGIDOS;1;;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;;
HF PROMEDIO;217.9813 ms2;;;;;;;
LF PROMEDIO;566.4074 ms2;;;;;;;
RELACIÓN LF/HF;2.5984;;;;;;;
CORAZONES ROJOS;61;;;;;;;
CORAZONES RARANJAS;64;;;;;;;
CORAZONES AMAARILLOS;128;;;;;;;
CORAZONES VERDES;92;;;;;;;
;;;;;;;;
48.231;91.0;659;3.88;97.79;N.a.;15:59:31:478;;
48.917;87.5;686;4.35;98.71;N.a.;15:59:32:036;;
49.649;82.0;732;4.91;97.61;N.a.;15:59:33:125;;
50.384;81.6;735;5.62;96.14;N.a.;15:59:33:673;;
51.097;84.2;713;6.59;94.03;N.a.;15:59:34:220;;
51.830;81.9;733;6.72;93.75;N.a.;15:59:35:312;;
52.593;78.6;763;6.85;93.75;N.a.;15:59:36:406;;
53.362;78.0;769;7.37;93.75;N.a.;15:59:36:426;;
54.106;80.6;744;8.63;93.75;N.a.;15:59:37:517;;
54.815;84.6;709;9.67;93.75;N.a.;15:59:38:051;;
55.526;84.4;711;11.05;93.75;N.a.;15:59:38:602;;
56.232;85.0;706;11.96;93.75;N.a.;15:59:39:699;;
56.916;87.7;684;12.48;93.75;N.a.;15:59:40:239;;
57.584;89.8;668;12.56;88.44;N.a.;15:59:40:786;;
58.243;91.0;659;12.54;80.47;N.a.;15:59:41:887;;
58.934;86.8;691;12.50;69.56;N.a.;15:59:42:435;;
59.653;83.4;719;12.38;61.92;N.a.;15:59:42:975;;
60.346;86.6;693;12.07;45.25;N.a.;15:59:43:522;;
61.044;86.0;698;11.44;23.88;N.a.;15:59:44:070;;
61.755;84.4;711;9.70;7.24;N.a.;15:59:44:623;;
62.469;84.0;714;3.43;91.62;N.a.;15:59:45:712;;
63.147;88.5;678;2.42;65.56;N.a.;15:59:46:260;;
63.815;89.8;668;2.18;45.66;N.a.;15:59:46:808;;
64.487;89.3;672;2.54;50.13;N.a.;15:59:47:909;;
65.168;88.1;681;2.84;65.00;N.a.;15:59:47:945;;
65.852;87.7;684;2.94;80.00;N.a.;15:59:49:000;;
66.522;89.6;670;2.86;100.00;N.a.;15:59:49:564;;
67.187;90.2;665;2.69;88.33;N.a.;15:59:50:107;;
67.858;89.4;671;2.33;81.67;N.a.;15:59:50:641;;
68.528;89.6;670;1.97;79.66;N.a.;15:59:51:736;;
