Device: Xiaomi Redmi Note 7; eSense app version: 4.9.0; android version: 10;
DESCRIPCIÓN;VALOR
NOMBRE DE LA GRABACIÓN;Grabación-04042021-192429;;;;
FECHA (HH:MM:SS);04.04.21 19:24:29;;;;
TIEMPO (HH:MM:SS);00:16:37;;;;
MÁXIMO;2.19 µS;;;;
MÍNIMO;0.48 µS;;;;
DIFERENCIA MIN/MAX;1.71 µS;;;;
MEDIA DE LA SESIÓN;1.32 µS;;;;
AUMENTO DEL TIEMPO (HH:MM:SS);00:02:15;;;;
TIEMPO INVARIABLE (HH:MM:SS);00:00:00;;;;
DISMINUCIÓN DEL TIEMPO (HH:MM:SS);00:14:22;;;;
;;;;;
TOTAL SCR;11;;;;
% DE SCR DE LA SESIÓN;7.2%;;;;
Manos rojas;0;;;;
Manos naranjas;0;;;;
Manos amarillas;113;;;;
Manos verdes;87;;;;
0-5 SCR/MIN (HH:MM:SS);00:18:01;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:00;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
ESTRELLAS;0;;;;
ESTRELLAS CON COLA;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
0.0;1.11;19:24:29:078;0;0;
0.2;1.12;19:24:29:278;0;0;
0.4;1.12;19:24:29:478;0;0;
0.6;1.12;19:24:29:678;0;0;
0.8;1.12;19:24:29:878;0;0;
1.0;1.12;19:24:30:078;0;0;
1.2;1.13;19:24:30:278;0;0;
1.4;1.13;19:24:30:478;0;0;
1.6;1.13;19:24:30:678;0;0;
1.8;1.13;19:24:30:878;0;0;
2.0;1.13;19:24:31:078;0;0;
2.2;1.12;19:24:31:278;0;0;
2.4;1.12;19:24:31:478;0;0;
2.6;1.12;19:24:31:678;0;0;
2.8;1.12;19:24:31:878;0;0;
3.0;1.12;19:24:32:078;0;0;
3.2;1.12;19:24:32:278;0;0;
3.4;1.13;19:24:32:478;0;0;
3.6;1.13;19:24:32:678;0;0;
3.8;1.13;19:24:32:878;0;0;
4.0;1.13;19:24:33:078;0;0;
4.2;1.13;19:24:33:278;0;0;
4.4;1.13;19:24:33:478;0;0;
4.6;1.13;19:24:33:678;0;0;
4.8;1.13;19:24:33:878;0;0;
5.0;1.13;19:24:34:078;0;0;
5.2;1.13;19:24:34:278;0;0;
5.4;1.13;19:24:34:478;0;0;
5.6;1.13;19:24:34:678;0;0;
5.8;1.13;19:24:34:878;0;0;
6.0;1.14;19:24:35:078;0;0;
6.2;1.15;19:24:35:278;0;0;
6.4;1.15;19:24:35:478;0;0;
6.6;1.17;19:24:35:678;0;0;
6.8;1.19;19:24:35:878;0;0;
7.0;1.21;19:24:36:078;0;0;
7.2;1.22;19:24:36:278;0;0;
7.4;1.22;19:24:36:478;0;0;
7.6;1.23;19:24:36:678;0;0;
7.8;1.25;19:24:36:878;0;0;
8.0;1.26;19:24:37:078;0;0;
8.2;1.26;19:24:37:278;0;0;
8.4;1.26;19:24:37:478;0;0;
8.6;1.26;19:24:37:678;0;0;
8.8;1.26;19:24:37:878;0;0;
9.0;1.26;19:24:38:078;0;0;
9.2;1.26;19:24:38:278;0;0;
9.4;1.25;19:24:38:478;0;0;
9.6;1.25;19:24:38:678;0;0;
9.8;1.25;19:24:38:878;0;0;
10.0;1.25;19:24:39:078;0;0;
10.2;1.24;19:24:39:278;0;0;
10.4;1.23;19:24:39:478;0;0;
10.6;1.23;19:24:39:678;0;0;
10.8;1.23;19:24:39:878;0;0;
11.0;1.23;19:24:40:078;0;0;
11.2;1.22;19:24:40:278;0;0;
11.4;1.22;19:24:40:478;0;0;
11.6;1.21;19:24:40:678;0;0;
11.8;1.21;19:24:40:878;0;0;
12.0;1.21;19:24:41:078;0;0;
12.2;1.21;19:24:41:278;0;0;
12.4;1.21;19:24:41:478;0;0;
12.6;1.21;19:24:41:678;0;0;
