Device: samsung SM-G970U1; eSense app version: 4.5.91; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;F3-skin;;;;
DATE (HH:MM:SS);15.06.20 15:59:57;;;;
TIME (HH:MM:SS);00:27:29;;;;
MAXIMUM;11.39 µS;;;;
MINIMUM;2.39 µS;;;;
DIFFERENCE MIN/MAX;9 µS;;;;
AVERAGE OF SESSION;5.97 µS;;;;
TIME INCREASE (HH:MM:SS);00:07:36;;;;
TIME STEADY (HH:MM:SS);00:01:31;;;;
TIME DECREASE (HH:MM:SS);00:18:21;;;;
;;;;;
TOTAL SCR;108;;;;
% of SCR OF SESSION;28.9%;;;;
Red hands;6;;;;
Orange hands;72;;;;
Yellow hands;169;;;;
Green hands;83;;;;
0-5 SCR/MIN (HH:MM:SS);00:20:17;;;;
6-9 SCR/MIN (HH:MM:SS);00:06:54;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:20;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
WHAT IS YOUR POSITION?;SITTING ON A CHAIR;;;;
ELECTRODE TYPE:;VELCRO ELECTRODES;;;;
24.0;3.26;16:00:21:763;0;2;
24.2;3.25;16:00:21:963;0;2;
24.4;3.24;16:00:22:163;0;2;
24.6;3.24;16:00:22:363;0;2;
24.8;3.24;16:00:22:563;0;2;
25.0;3.23;16:00:22:763;0;2;
25.2;3.22;16:00:22:963;0;2;
25.4;3.20;16:00:23:163;0;2;
25.6;3.20;16:00:23:363;0;2;
25.8;3.19;16:00:23:563;0;2;
26.0;3.18;16:00:23:763;0;2;
26.2;3.16;16:00:23:963;0;2;
26.4;3.15;16:00:24:163;0;2;
26.6;3.13;16:00:24:363;1;2;
26.8;3.13;16:00:24:563;1;2;
27.0;3.12;16:00:24:763;1;2;
27.2;3.10;16:00:24:963;1;2;
27.4;3.09;16:00:25:163;1;3;
27.6;3.07;16:00:25:363;1;3;
27.8;3.05;16:00:25:563;1;3;
28.0;3.05;16:00:25:763;1;3;
28.2;3.05;16:00:25:963;1;3;
28.4;3.05;16:00:26:163;1;3;
28.6;3.09;16:00:26:363;1;3;
28.8;3.18;16:00:26:563;1;3;
29.0;3.18;16:00:26:763;1;3;
29.2;3.25;16:00:26:963;1;3;
29.4;3.36;16:00:27:163;1;3;
29.6;3.42;16:00:27:363;0;3;
29.8;3.48;16:00:27:563;0;3;
30.0;3.56;16:00:27:763;0;3;
30.2;3.56;16:00:27:963;0;3;
30.4;3.61;16:00:28:163;0;3;
30.6;3.68;16:00:28:363;0;3;
30.8;3.73;16:00:28:563;0;3;
31.0;3.79;16:00:28:763;0;3;
31.2;3.80;16:00:28:963;0;3;
31.4;3.81;16:00:29:163;0;3;
31.6;3.81;16:00:29:363;0;3;
31.8;3.80;16:00:29:563;0;3;
32.0;3.80;16:00:29:763;0;3;
32.2;3.83;16:00:29:963;0;3;
32.4;3.85;16:00:30:163;0;3;
32.6;3.86;16:00:30:363;0;3;
32.8;3.88;16:00:30:563;0;3;
33.0;3.88;16:00:30:763;0;3;
33.2;3.88;16:00:30:963;0;3;
33.4;3.91;16:00:31:163;1;3;
33.6;3.94;16:00:31:363;1;3;
33.8;3.96;16:00:31:563;1;3;
34.0;3.99;16:00:31:763;1;3;
34.2;4.01;16:00:31:963;1;3;
34.4;4.02;16:00:32:163;1;3;
34.6;4.01;16:00:32:363;1;3;
34.8;4.01;16:00:32:563;1;3;
35.0;4.00;16:00:32:763;1;3;
35.2;3.99;16:00:32:963;1;3;
35.4;3.98;16:00:33:163;1;4;
35.6;3.98;16:00:33:363;1;4;
35.8;3.99;16:00:33:563;1;4;
36.0;3.99;16:00:33:763;1;4;
36.2;3.99;16:00:33:963;1;4;
36.4;3.98;16:00:34:163;1;4;
36.6;3.95;16:00:34:363;1;5;
36.8;3.92;16:00:34:563;1;5;
37.0;3.90;16:00:34:763;1;5;
37.2;3.91;16:00:34:963;1;5;
37.4;3.92;16:00:35:163;1;5;
37.6;3.93;16:00:35:363;1;5;
37.8;3.95;16:00:35:563;1;5;
38.0;3.98;16:00:35:763;1;5;
38.2;3.98;16:00:35:963;1;6;
38.4;3.99;16:00:36:163;1;6;
38.6;3.99;16:00:36:363;1;6;
38.8;4.00;16:00:36:563;1;6;
39.0;4.00;16:00:36:763;1;6;
39.2;3.99;16:00:36:963;1;6;
39.4;3.99;16:00:37:163;1;6;
39.6;3.99;16:00:37:363;1;6;
39.8;4.00;16:00:37:563;1;6;
40.0;4.01;16:00:37:763;1;6;
40.2;4.03;16:00:37:963;1;6;
40.4;4.03;16:00:38:163;1;6;
40.6;4.03;16:00:38:363;1;6;
40.8;4.03;16:00:38:563;1;6;
41.0;4.03;16:00:38:763;1;6;
41.2;4.00;16:00:38:963;1;6;
41.4;3.96;16:00:39:163;1;6;
41.6;3.95;16:00:39:363;1;6;
41.8;3.95;16:00:39:563;1;6;
42.0;3.92;16:00:39:763;1;6;
42.2;3.88;16:00:39:963;1;6;
42.4;3.87;16:00:40:163;1;6;
42.6;3.86;16:00:40:363;1;6;
42.8;3.85;16:00:40:563;1;6;
43.0;3.86;16:00:40:763;1;6;
43.2;3.89;16:00:40:963;1;6;
43.4;3.96;16:00:41:163;1;6;
43.6;4.05;16:00:41:363;0;6;
43.8;4.09;16:00:41:563;0;6;
44.0;4.12;16:00:41:763;0;6;
44.2;4.18;16:00:41:963;0;6;
44.4;4.21;16:00:42:163;0;6;
44.6;4.22;16:00:42:363;0;6;
44.8;4.22;16:00:42:563;0;6;
45.0;4.22;16:00:42:763;0;6;
45.2;4.21;16:00:42:963;0;6;
45.4;4.21;16:00:43:163;0;6;
45.6;4.21;16:00:43:363;0;6;
45.8;4.20;16:00:43:563;0;6;
46.0;4.19;16:00:43:763;0;6;
46.2;4.19;16:00:43:963;0;6;
46.4;4.17;16:00:44:163;0;6;
46.6;4.16;16:00:44:363;0;6;
46.8;4.11;16:00:44:563;0;6;
47.0;4.04;16:00:44:763;0;6;
47.2;4.01;16:00:44:963;0;6;
47.4;4.03;16:00:45:163;0;6;
47.6;4.05;16:00:45:363;0;6;
47.8;4.08;16:00:45:563;0;6;
48.0;4.10;16:00:45:763;0;6;
48.2;4.13;16:00:45:963;0;6;
48.4;4.15;16:00:46:163;0;6;
48.6;4.17;16:00:46:363;0;6;
48.8;4.20;16:00:46:563;0;6;
49.0;4.21;16:00:46:763;0;6;
49.2;4.24;16:00:46:963;0;6;
49.4;4.25;16:00:47:163;0;6;
49.6;4.26;16:00:47:363;0;6;
49.8;4.26;16:00:47:563;0;6;
50.0;4.25;16:00:47:763;0;6;
50.2;4.25;16:00:47:963;0;6;
50.4;4.27;16:00:48:163;0;6;
50.6;4.34;16:00:48:363;0;6;
50.8;4.34;16:00:48:563;0;6;
51.0;4.34;16:00:48:763;0;6;
51.2;4.33;16:00:48:963;0;6;
51.4;4.31;16:00:49:163;0;6;
51.6;4.31;16:00:49:363;1;6;
51.8;4.32;16:00:49:563;1;6;
52.0;4.33;16:00:49:763;1;6;
52.2;4.34;16:00:49:963;1;6;
52.4;4.33;16:00:50:163;1;6;
52.6;4.33;16:00:50:363;1;6;
52.8;4.37;16:00:50:563;1;6;
53.0;4.40;16:00:50:763;1;6;
53.2;4.41;16:00:50:963;1;6;
53.4;4.46;16:00:51:163;1;7;
53.6;4.52;16:00:51:363;1;7;
53.8;4.53;16:00:51:563;1;7;
54.0;4.51;16:00:51:763;1;7;
54.2;4.50;16:00:51:963;1;7;
54.4;4.48;16:00:52:163;1;7;
54.6;4.46;16:00:52:363;1;8;
54.8;4.47;16:00:52:563;1;8;
55.0;4.52;16:00:52:763;1;8;
55.2;4.55;16:00:52:963;1;8;
55.4;4.58;16:00:53:163;1;8;
55.6;4.64;16:00:53:363;1;9;
