Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;ro-07012021-skin;;;;
DATE (HH:MM:SS);07.01.21 19:44:35;;;;
TIME (HH:MM:SS);00:15:55;;;;
MAXIMUM;5.23 µS;;;;
MINIMUM;0.38 µS;;;;
DIFFERENCE MIN/MAX;4.85 µS;;;;
AVERAGE OF SESSION;2.59 µS;;;;
TIME INCREASE (HH:MM:SS);00:03:20;;;;
TIME STEADY (HH:MM:SS);00:00:40;;;;
TIME DECREASE (HH:MM:SS);00:11:54;;;;
;;;;;
TOTAL SCR;44;;;;
% of SCR OF SESSION;19.8%;;;;
Red hands;0;;;;
Orange hands;7;;;;
Yellow hands;122;;;;
Green hands;62;;;;
0-5 SCR/MIN (HH:MM:SS);00:15:01;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:57;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
24.8;0.96;19:45:00:325;0;0;
25.0;0.96;19:45:00:525;0;0;
25.2;0.96;19:45:00:725;0;0;
25.4;0.96;19:45:00:925;0;0;
25.6;0.95;19:45:01:125;0;0;
25.8;0.95;19:45:01:325;0;0;
26.0;0.95;19:45:01:525;0;0;
26.2;0.95;19:45:01:725;0;0;
26.4;0.95;19:45:01:925;0;0;
26.6;0.95;19:45:02:125;0;0;
26.8;0.94;19:45:02:325;0;0;
27.0;0.94;19:45:02:525;0;0;
27.2;0.94;19:45:02:725;0;0;
27.4;0.94;19:45:02:925;0;0;
27.6;0.94;19:45:03:125;0;0;
27.8;0.94;19:45:03:325;0;0;
28.0;0.94;19:45:03:525;0;0;
28.2;0.93;19:45:03:725;0;0;
28.4;0.93;19:45:03:925;0;0;
28.6;0.93;19:45:04:125;0;0;
28.8;0.93;19:45:04:325;0;0;
29.0;0.93;19:45:04:525;0;0;
29.2;0.92;19:45:04:725;0;0;
29.4;0.92;19:45:04:925;0;0;
29.6;0.92;19:45:05:125;0;0;
29.8;0.92;19:45:05:325;0;0;
30.0;0.92;19:45:05:525;0;0;
30.2;0.92;19:45:05:725;0;0;
30.4;0.92;19:45:05:925;0;0;
30.6;0.92;19:45:06:125;0;0;
30.8;0.92;19:45:06:325;0;0;
31.0;0.92;19:45:06:525;0;0;
31.2;0.91;19:45:06:725;0;0;
31.4;0.91;19:45:06:925;0;0;
31.6;0.91;19:45:07:125;0;0;
31.8;0.91;19:45:07:325;0;0;
32.0;0.91;19:45:07:525;0;0;
32.2;0.91;19:45:07:725;0;0;
32.4;0.91;19:45:07:925;0;0;
32.6;0.92;19:45:08:125;0;0;
32.8;0.93;19:45:08:325;0;0;
33.0;0.93;19:45:08:525;0;0;
33.2;0.94;19:45:08:725;0;0;
33.4;0.95;19:45:08:925;0;0;
