Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;ro-07012021-skin;;;;
DATE (HH:MM:SS);07.01.21 19:44:35;;;;
TIME (HH:MM:SS);00:15:55;;;;
MAXIMUM;5.23 µS;;;;
MINIMUM;0.38 µS;;;;
DIFFERENCE MIN/MAX;4.85 µS;;;;
AVERAGE OF SESSION;2.59 µS;;;;
TIME INCREASE (HH:MM:SS);00:03:20;;;;
TIME STEADY (HH:MM:SS);00:00:40;;;;
TIME DECREASE (HH:MM:SS);00:11:54;;;;
;;;;;
TOTAL SCR;44;;;;
% of SCR OF SESSION;19.8%;;;;
Red hands;0;;;;
Orange hands;7;;;;
Yellow hands;122;;;;
Green hands;62;;;;
0-5 SCR/MIN (HH:MM:SS);00:15:01;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:57;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
88.0;0.80;19:46:03:525;0;0;
88.2;0.80;19:46:03:725;0;0;
88.4;0.80;19:46:03:925;0;0;
88.6;0.80;19:46:04:125;0;0;
88.8;0.80;19:46:04:325;0;0;
89.0;0.80;19:46:04:525;0;0;
89.2;0.81;19:46:04:725;0;0;
89.4;0.82;19:46:04:925;0;0;
89.6;0.82;19:46:05:125;0;0;
89.8;0.83;19:46:05:325;0;0;
90.0;0.84;19:46:05:525;0;0;
90.2;0.86;19:46:05:725;0;0;
90.4;0.87;19:46:05:925;0;0;
90.6;0.88;19:46:06:125;0;0;
90.8;0.88;19:46:06:325;0;0;
91.0;0.89;19:46:06:525;0;0;
91.2;0.90;19:46:06:725;0;0;
91.4;0.91;19:46:06:925;0;0;
91.6;0.93;19:46:07:125;0;0;
91.8;0.94;19:46:07:325;0;0;
92.0;0.94;19:46:07:525;0;0;
92.2;0.94;19:46:07:725;0;0;
92.4;0.95;19:46:07:925;0;0;
92.6;0.95;19:46:08:125;0;0;
92.8;0.95;19:46:08:325;0;0;
93.0;0.95;19:46:08:525;0;0;
93.2;0.96;19:46:08:725;0;0;
93.4;0.96;19:46:08:925;0;0;
93.6;0.96;19:46:09:125;1;0;
93.8;0.96;19:46:09:325;1;0;
94.0;0.96;19:46:09:525;1;0;
94.2;0.96;19:46:09:725;1;0;
94.4;0.95;19:46:09:925;1;0;
94.6;0.95;19:46:10:125;1;0;
94.8;0.95;19:46:10:325;1;0;
95.0;0.95;19:46:10:525;1;0;
95.2;0.95;19:46:10:725;1;0;
95.4;0.95;19:46:10:925;1;0;
95.6;0.95;19:46:11:125;1;0;
95.8;0.95;19:46:11:325;1;0;
96.0;0.95;19:46:11:525;1;0;
96.2;0.95;19:46:11:725;1;0;
96.4;0.95;19:46:11:925;1;0;
96.6;0.95;19:46:12:125;1;0;
96.8;0.95;19:46:12:325;1;0;
97.0;0.95;19:46:12:525;1;0;
97.2;0.95;19:46:12:725;1;0;
97.4;0.95;19:46:12:925;1;0;
97.6;0.95;19:46:13:125;1;1;
97.8;0.95;19:46:13:325;1;1;
98.0;0.95;19:46:13:525;1;1;
98.2;0.95;19:46:13:725;1;1;
98.4;0.95;19:46:13:925;1;1;
98.6;0.95;19:46:14:125;1;1;
98.8;0.95;19:46:14:325;1;1;
99.0;0.95;19:46:14:525;1;1;
99.2;0.95;19:46:14:725;1;1;
99.4;0.95;19:46:14:925;1;1;
99.6;0.94;19:46:15:125;1;1;
99.8;0.94;19:46:15:325;1;1;
100.0;0.94;19:46:15:525;1;1;
100.2;0.94;19:46:15:725;1;1;
100.4;0.94;19:46:15:925;1;1;
100.6;0.95;19:46:16:125;1;1;
100.8;0.95;19:46:16:325;1;1;
101.0;0.95;19:46:16:525;1;1;
101.2;0.95;19:46:16:725;1;1;
101.4;0.95;19:46:16:925;1;1;
101.6;0.94;19:46:17:125;1;1;
101.8;0.95;19:46:17:325;1;1;
102.0;0.95;19:46:17:525;1;1;
102.2;0.94;19:46:17:725;1;1;
102.4;0.94;19:46:17:925;1;1;
102.6;0.94;19:46:18:125;1;1;
102.8;0.94;19:46:18:325;0;1;
103.0;0.94;19:46:18:525;0;1;
103.2;0.94;19:46:18:725;0;1;
103.4;0.94;19:46:18:925;0;1;
103.6;0.94;19:46:19:125;0;1;
103.8;0.94;19:46:19:325;0;1;
104.0;0.94;19:46:19:525;0;1;
104.2;0.93;19:46:19:725;0;1;
104.4;0.93;19:46:19:925;0;1;
104.6;0.93;19:46:20:125;0;1;
104.8;0.93;19:46:20:325;0;1;
105.0;0.93;19:46:20:525;0;1;
105.2;0.93;19:46:20:725;0;1;
105.4;0.93;19:46:20:925;0;1;
105.6;0.93;19:46:21:125;0;1;
105.8;0.93;19:46:21:325;0;1;
106.0;0.93;19:46:21:525;0;1;
106.2;0.93;19:46:21:725;0;1;
106.4;0.93;19:46:21:925;0;1;
106.6;0.93;19:46:22:125;0;1;
106.8;0.94;19:46:22:325;0;1;
107.0;0.94;19:46:22:525;0;1;
107.2;0.94;19:46:22:725;0;1;
107.4;0.94;19:46:22:925;0;1;
107.6;0.94;19:46:23:125;0;1;
107.8;0.94;19:46:23:325;0;1;
108.0;0.94;19:46:23:525;0;1;
108.2;0.94;19:46:23:725;0;1;
108.4;0.93;19:46:23:925;0;1;
108.6;0.93;19:46:24:125;0;1;
108.8;0.93;19:46:24:325;0;1;
109.0;0.93;19:46:24:525;0;1;
109.2;0.93;19:46:24:725;0;1;
109.4;0.93;19:46:24:925;0;1;
109.6;0.93;19:46:25:125;0;1;
109.8;0.94;19:46:25:325;0;1;
110.0;0.94;19:46:25:525;0;1;
110.2;0.94;19:46:25:725;0;1;
110.4;0.95;19:46:25:925;0;1;
110.6;0.95;19:46:26:125;0;1;
110.8;0.96;19:46:26:325;0;1;
111.0;0.96;19:46:26:525;0;1;
111.2;0.96;19:46:26:725;0;1;
111.4;0.97;19:46:26:925;0;1;
111.6;0.97;19:46:27:125;0;1;
111.8;0.98;19:46:27:325;0;1;
112.0;0.99;19:46:27:525;0;1;
112.2;0.99;19:46:27:725;0;1;
112.4;1.00;19:46:27:925;0;1;
112.6;1.00;19:46:28:125;0;1;
112.8;1.00;19:46:28:325;0;1;
113.0;1.00;19:46:28:525;0;1;
113.2;1.00;19:46:28:725;0;1;
113.4;1.00;19:46:28:925;0;1;
113.6;1.00;19:46:29:125;0;1;
113.8;1.00;19:46:29:325;0;1;
114.0;1.00;19:46:29:525;0;1;
114.2;0.99;19:46:29:725;0;1;
114.4;0.99;19:46:29:925;0;1;
114.6;0.99;19:46:30:125;0;1;
114.8;0.99;19:46:30:325;0;1;
115.0;0.99;19:46:30:525;0;1;
115.2;0.98;19:46:30:725;0;1;
115.4;0.98;19:46:30:925;0;1;
115.6;0.98;19:46:31:125;0;1;
115.8;0.98;19:46:31:325;0;1;
116.0;0.98;19:46:31:525;0;1;
116.2;0.98;19:46:31:725;0;1;
116.4;0.98;19:46:31:925;0;1;
116.6;0.98;19:46:32:125;0;1;
116.8;0.98;19:46:32:325;0;1;
117.0;0.97;19:46:32:525;0;1;
117.2;0.97;19:46:32:725;0;1;
117.4;0.97;19:46:32:925;0;1;
117.6;0.97;19:46:33:125;0;1;
117.8;0.97;19:46:33:325;0;1;
118.0;0.97;19:46:33:525;0;1;
118.2;0.97;19:46:33:725;0;1;
118.4;0.97;19:46:33:925;0;1;
118.6;0.97;19:46:34:125;0;1;
118.8;0.97;19:46:34:325;0;1;
119.0;0.97;19:46:34:525;0;1;
119.2;0.99;19:46:34:725;0;1;
119.4;1.00;19:46:34:925;0;1;
119.6;1.01;19:46:35:125;0;1;
119.8;1.01;19:46:35:325;0;1;
120.0;1.02;19:46:35:525;0;1;
120.2;1.02;19:46:35:725;0;1;
120.4;1.02;19:46:35:925;0;1;
120.6;1.02;19:46:36:125;0;1;
120.8;1.01;19:46:36:325;0;1;
121.0;1.01;19:46:36:525;0;1;
121.2;1.01;19:46:36:725;0;1;
121.4;1.01;19:46:36:925;0;1;
121.6;1.00;19:46:37:125;0;1;
121.8;1.00;19:46:37:325;0;1;
122.0;1.00;19:46:37:525;0;1;
122.2;0.99;19:46:37:725;0;1;
122.4;0.99;19:46:37:925;0;1;
122.6;0.99;19:46:38:125;0;1;
122.8;0.99;19:46:38:325;0;1;
123.0;0.99;19:46:38:525;0;1;
123.2;0.99;19:46:38:725;0;1;
123.4;0.99;19:46:38:925;0;1;
123.6;0.99;19:46:39:125;0;1;
123.8;0.99;19:46:39:325;0;1;
124.0;0.99;19:46:39:525;0;1;
124.2;0.99;19:46:39:725;0;1;
124.4;0.99;19:46:39:925;0;1;
124.6;0.99;19:46:40:125;0;1;
124.8;0.99;19:46:40:325;0;1;
125.0;0.99;19:46:40:525;0;1;
125.2;0.99;19:46:40:725;0;1;
125.4;0.99;19:46:40:925;0;1;
125.6;0.99;19:46:41:125;0;1;
125.8;0.99;19:46:41:325;0;1;
126.0;1.00;19:46:41:525;0;1;
126.2;1.00;19:46:41:725;0;1;
126.4;1.00;19:46:41:925;0;1;
126.6;1.00;19:46:42:125;0;1;
126.8;1.00;19:46:42:325;0;1;
127.0;1.00;19:46:42:525;0;1;
127.2;1.00;19:46:42:725;0;1;
127.4;1.00;19:46:42:925;0;1;
127.6;1.00;19:46:43:125;0;1;
127.8;1.00;19:46:43:325;0;1;
128.0;1.00;19:46:43:525;0;1;
128.2;1.00;19:46:43:725;0;1;
128.4;1.00;19:46:43:925;0;1;
128.6;1.00;19:46:44:125;0;1;
128.8;0.99;19:46:44:325;0;1;
129.0;0.99;19:46:44:525;0;1;
129.2;0.99;19:46:44:725;0;1;
129.4;0.99;19:46:44:925;0;1;
129.6;0.99;19:46:45:125;0;1;
129.8;0.99;19:46:45:325;0;1;
130.0;0.99;19:46:45:525;0;1;
130.2;0.98;19:46:45:725;0;1;
130.4;0.98;19:46:45:925;0;1;
130.6;0.98;19:46:46:125;0;1;
130.8;0.98;19:46:46:325;0;1;
131.0;0.98;19:46:46:525;0;1;
131.2;0.98;19:46:46:725;0;1;
131.4;0.98;19:46:46:925;0;1;
131.6;0.98;19:46:47:125;0;1;
131.8;0.98;19:46:47:325;0;1;
132.0;0.97;19:46:47:525;0;1;
132.2;0.97;19:46:47:725;0;1;
132.4;0.97;19:46:47:925;0;1;
132.6;0.97;19:46:48:125;0;1;
132.8;0.97;19:46:48:325;0;1;
133.0;0.97;19:46:48:525;0;1;
133.2;0.97;19:46:48:725;0;1;
133.4;0.96;19:46:48:925;0;1;
133.6;0.97;19:46:49:125;0;1;
133.8;0.97;19:46:49:325;0;1;
134.0;0.99;19:46:49:525;0;1;
134.2;1.02;19:46:49:725;0;1;
134.4;1.06;19:46:49:925;0;1;
134.6;1.10;19:46:50:125;0;1;
134.8;1.10;19:46:50:325;0;1;
135.0;1.14;19:46:50:525;0;1;
135.2;1.17;19:46:50:725;0;1;
135.4;1.23;19:46:50:925;0;1;
135.6;1.27;19:46:51:125;0;1;
135.8;1.33;19:46:51:325;0;1;
136.0;1.33;19:46:51:525;0;1;
136.2;1.37;19:46:51:725;0;1;
136.4;1.43;19:46:51:925;0;1;
136.6;1.47;19:46:52:125;0;1;
136.8;1.49;19:46:52:325;0;1;
137.0;1.53;19:46:52:525;0;1;
137.2;1.53;19:46:52:725;0;1;
137.4;1.54;19:46:52:925;0;1;
137.6;1.55;19:46:53:125;0;1;
137.8;1.55;19:46:53:325;0;1;
138.0;1.55;19:46:53:525;0;1;
138.2;1.55;19:46:53:725;0;1;
138.4;1.55;19:46:53:925;0;1;
138.6;1.56;19:46:54:125;0;1;
138.8;1.57;19:46:54:325;0;1;
139.0;1.58;19:46:54:525;1;1;
139.2;1.62;19:46:54:725;1;1;
139.4;1.62;19:46:54:925;1;1;
139.6;1.66;19:46:55:125;1;1;
139.8;1.72;19:46:55:325;1;1;
140.0;1.76;19:46:55:525;1;1;
140.2;1.81;19:46:55:725;1;1;
140.4;1.85;19:46:55:925;1;1;
140.6;1.85;19:46:56:125;1;1;
140.8;1.88;19:46:56:325;1;1;
141.0;1.93;19:46:56:525;1;1;
141.2;1.97;19:46:56:725;1;1;
141.4;2.00;19:46:56:925;1;1;
141.6;2.00;19:46:57:125;1;1;
141.8;2.03;19:46:57:325;1;1;
142.0;2.08;19:46:57:525;1;1;
142.2;2.11;19:46:57:725;1;1;
142.4;2.15;19:46:57:925;1;1;
142.6;2.20;19:46:58:125;1;1;
142.8;2.20;19:46:58:325;1;1;
143.0;2.25;19:46:58:525;1;1;
143.2;2.28;19:46:58:725;1;1;
143.4;2.30;19:46:58:925;1;1;
143.6;2.33;19:46:59:125;1;1;
143.8;2.36;19:46:59:325;1;1;
144.0;2.36;19:46:59:525;1;1;
144.2;2.40;19:46:59:725;1;1;
144.4;2.45;19:46:59:925;1;1;
144.6;2.47;19:47:00:125;1;1;
144.8;2.50;19:47:00:325;0;1;
145.0;2.50;19:47:00:525;0;1;
145.2;2.51;19:47:00:725;0;1;
145.4;2.51;19:47:00:925;0;1;
145.6;2.49;19:47:01:125;0;1;
145.8;2.47;19:47:01:325;0;1;
146.0;2.44;19:47:01:525;0;1;
146.2;2.44;19:47:01:725;0;1;
146.4;2.42;19:47:01:925;0;1;
146.6;2.40;19:47:02:125;0;1;
146.8;2.39;19:47:02:325;0;1;
147.0;2.38;19:47:02:525;1;1;
147.2;2.37;19:47:02:725;1;1;
147.4;2.37;19:47:02:925;1;1;
147.6;2.35;19:47:03:125;1;1;
147.8;2.35;19:47:03:325;1;1;
148.0;2.34;19:47:03:525;1;1;
148.2;2.33;19:47:03:725;1;1;
148.4;2.33;19:47:03:925;1;1;
148.6;2.32;19:47:04:125;1;1;
148.8;2.31;19:47:04:325;1;1;
149.0;2.30;19:47:04:525;1;2;
149.2;2.29;19:47:04:725;1;2;
149.4;2.29;19:47:04:925;1;2;
149.6;2.29;19:47:05:125;1;2;
149.8;2.26;19:47:05:325;1;2;
150.0;2.27;19:47:05:525;1;2;
150.2;2.26;19:47:05:725;1;2;
150.4;2.26;19:47:05:925;1;2;
150.6;2.26;19:47:06:125;1;2;
150.8;2.26;19:47:06:325;1;2;
151.0;2.26;19:47:06:525;1;2;
151.2;2.26;19:47:06:725;1;2;
151.4;2.26;19:47:06:925;1;2;
151.6;2.27;19:47:07:125;1;2;
151.8;2.27;19:47:07:325;0;2;
152.0;2.30;19:47:07:525;0;2;
152.2;2.36;19:47:07:725;0;2;
152.4;2.41;19:47:07:925;0;2;
152.6;2.45;19:47:08:125;0;2;
152.8;2.46;19:47:08:325;0;2;
153.0;2.46;19:47:08:525;0;2;
153.2;2.45;19:47:08:725;0;2;
153.4;2.44;19:47:08:925;0;2;
153.6;2.42;19:47:09:125;0;2;
153.8;2.43;19:47:09:325;0;2;
154.0;2.43;19:47:09:525;0;2;
154.2;2.46;19:47:09:725;0;2;
154.4;2.52;19:47:09:925;0;2;
154.6;2.55;19:47:10:125;0;2;
154.8;2.57;19:47:10:325;0;2;
155.0;2.57;19:47:10:525;0;2;
155.2;2.57;19:47:10:725;0;2;
155.4;2.59;19:47:10:925;0;2;
155.6;2.62;19:47:11:125;0;2;
155.8;2.65;19:47:11:325;0;2;
156.0;2.69;19:47:11:525;1;2;
156.2;2.70;19:47:11:725;1;2;
156.4;2.70;19:47:11:925;1;2;
156.6;2.70;19:47:12:125;1;3;
156.8;2.68;19:47:12:325;1;3;
157.0;2.67;19:47:12:525;1;3;
157.2;2.61;19:47:12:725;1;3;
157.4;2.61;19:47:12:925;1;3;
157.6;2.57;19:47:13:125;1;3;
157.8;2.52;19:47:13:325;1;2;
158.0;2.49;19:47:13:525;1;2;
158.2;2.46;19:47:13:725;1;2;
158.4;2.44;19:47:13:925;1;2;
158.6;2.44;19:47:14:125;1;2;
158.8;2.44;19:47:14:325;1;2;
159.0;2.41;19:47:14:525;1;2;
159.2;2.40;19:47:14:725;1;2;
159.4;2.38;19:47:14:925;1;2;
159.6;2.38;19:47:15:125;1;2;
159.8;2.37;19:47:15:325;1;2;
160.0;2.36;19:47:15:525;1;2;
160.2;2.36;19:47:15:725;1;3;
160.4;2.36;19:47:15:925;1;3;
160.6;2.36;19:47:16:125;1;3;
160.8;2.36;19:47:16:325;1;3;
161.0;2.35;19:47:16:525;1;3;
161.2;2.34;19:47:16:725;1;3;
161.4;2.34;19:47:16:925;1;3;
161.6;2.33;19:47:17:125;1;3;
161.8;2.33;19:47:17:325;0;3;
162.0;2.33;19:47:17:525;0;3;
162.2;2.32;19:47:17:725;0;3;
162.4;2.31;19:47:17:925;0;3;
162.6;2.31;19:47:18:125;0;3;
162.8;2.30;19:47:18:325;0;3;
163.0;2.30;19:47:18:525;0;3;
163.2;2.30;19:47:18:725;0;3;
163.4;2.32;19:47:18:925;0;3;
163.6;2.36;19:47:19:125;0;3;
163.8;2.46;19:47:19:325;0;3;
164.0;2.53;19:47:19:525;0;3;
164.2;2.53;19:47:19:725;0;3;
164.4;2.57;19:47:19:925;0;3;
164.6;2.61;19:47:20:125;0;3;
164.8;2.62;19:47:20:325;0;3;
165.0;2.60;19:47:20:525;0;3;
165.2;2.58;19:47:20:725;0;3;
165.4;2.58;19:47:20:925;0;3;
165.6;2.54;19:47:21:125;0;3;
165.8;2.51;19:47:21:325;0;3;
166.0;2.44;19:47:21:525;0;3;
166.2;2.46;19:47:21:725;0;3;
166.4;2.46;19:47:21:925;0;3;
166.6;2.44;19:47:22:125;0;3;
166.8;2.42;19:47:22:325;0;3;
167.0;2.40;19:47:22:525;0;3;
167.2;2.40;19:47:22:725;0;3;
167.4;2.40;19:47:22:925;0;3;
167.6;2.40;19:47:23:125;0;3;
167.8;2.41;19:47:23:325;0;3;
168.0;2.42;19:47:23:525;0;3;
168.2;2.44;19:47:23:725;0;3;
168.4;2.43;19:47:23:925;0;3;
168.6;2.42;19:47:24:125;0;3;
168.8;2.42;19:47:24:325;0;3;
169.0;2.40;19:47:24:525;0;3;
169.2;2.38;19:47:24:725;0;3;
169.4;2.36;19:47:24:925;0;3;
169.6;2.35;19:47:25:125;0;3;
169.8;2.35;19:47:25:325;0;3;
170.0;2.34;19:47:25:525;0;3;
170.2;2.33;19:47:25:725;0;3;
170.4;2.32;19:47:25:925;0;3;
170.6;2.30;19:47:26:125;0;3;
170.8;2.30;19:47:26:325;0;3;
171.0;2.30;19:47:26:525;0;3;
171.2;2.29;19:47:26:725;0;3;
171.4;2.28;19:47:26:925;0;3;
171.6;2.27;19:47:27:125;0;3;
171.8;2.26;19:47:27:325;0;3;
172.0;2.24;19:47:27:525;0;3;
172.2;2.24;19:47:27:725;0;3;
172.4;2.24;19:47:27:925;0;3;
172.6;2.21;19:47:28:125;0;3;
172.8;2.22;19:47:28:325;0;3;
173.0;2.20;19:47:28:525;0;3;
173.2;2.20;19:47:28:725;0;3;
173.4;2.19;19:47:28:925;0;3;
173.6;2.18;19:47:29:125;0;3;
173.8;2.18;19:47:29:325;0;3;
174.0;2.16;19:47:29:525;0;3;
174.2;2.16;19:47:29:725;0;3;
174.4;2.16;19:47:29:925;0;3;
174.6;2.15;19:47:30:125;0;3;
174.8;2.14;19:47:30:325;0;3;
175.0;2.13;19:47:30:525;0;3;
175.2;2.12;19:47:30:725;0;3;
175.4;2.12;19:47:30:925;0;3;
175.6;2.12;19:47:31:125;0;3;
175.8;2.11;19:47:31:325;0;3;
176.0;2.11;19:47:31:525;0;3;
176.2;2.11;19:47:31:725;0;3;
176.4;2.11;19:47:31:925;0;3;
176.6;2.11;19:47:32:125;0;3;
176.8;2.10;19:47:32:325;0;3;
177.0;2.09;19:47:32:525;0;3;
177.2;2.09;19:47:32:725;0;3;
177.4;2.08;19:47:32:925;0;3;
177.6;2.07;19:47:33:125;0;3;
177.8;2.07;19:47:33:325;0;3;
178.0;2.07;19:47:33:525;0;3;
178.2;2.06;19:47:33:725;0;3;
178.4;2.05;19:47:33:925;0;3;
178.6;2.04;19:47:34:125;0;3;
178.8;2.03;19:47:34:325;0;3;
179.0;2.03;19:47:34:525;0;3;
179.2;2.02;19:47:34:725;0;3;
179.4;2.02;19:47:34:925;0;3;
179.6;2.00;19:47:35:125;0;3;
179.8;2.00;19:47:35:325;0;3;
180.0;2.00;19:47:35:525;0;3;
180.2;2.00;19:47:35:725;0;3;
180.4;2.00;19:47:35:925;0;3;
180.6;2.02;19:47:36:125;0;3;
180.8;2.06;19:47:36:325;0;3;
181.0;2.12;19:47:36:525;0;3;
181.2;2.14;19:47:36:725;0;3;
181.4;2.19;19:47:36:925;0;3;
181.6;2.26;19:47:37:125;0;3;
181.8;2.33;19:47:37:325;0;3;
182.0;2.42;19:47:37:525;0;3;
182.2;2.50;19:47:37:725;0;3;
182.4;2.55;19:47:37:925;0;3;
182.6;2.57;19:47:38:125;0;3;
182.8;2.61;19:47:38:325;0;3;
183.0;2.66;19:47:38:525;0;3;
183.2;2.69;19:47:38:725;0;3;
183.4;2.69;19:47:38:925;0;3;
183.6;2.70;19:47:39:125;0;3;
183.8;2.71;19:47:39:325;0;3;
184.0;2.70;19:47:39:525;0;3;
184.2;2.68;19:47:39:725;0;3;
184.4;2.65;19:47:39:925;0;3;
184.6;2.63;19:47:40:125;0;3;
184.8;2.60;19:47:40:325;0;3;
185.0;2.54;19:47:40:525;0;3;
185.2;2.46;19:47:40:725;0;3;
185.4;2.42;19:47:40:925;0;3;
185.6;2.41;19:47:41:125;1;3;
185.8;2.42;19:47:41:325;1;3;
186.0;2.44;19:47:41:525;1;3;
186.2;2.42;19:47:41:725;1;3;
186.4;2.40;19:47:41:925;1;3;
186.6;2.37;19:47:42:125;1;3;
186.8;2.34;19:47:42:325;1;3;
187.0;2.31;19:47:42:525;1;3;
187.2;2.31;19:47:42:725;1;3;
187.4;2.33;19:47:42:925;1;3;
187.6;2.34;19:47:43:125;1;4;
187.8;2.34;19:47:43:325;1;4;
188.0;2.34;19:47:43:525;1;4;
188.2;2.34;19:47:43:725;1;4;
188.4;2.33;19:47:43:925;1;4;
188.6;2.33;19:47:44:125;1;4;
188.8;2.33;19:47:44:325;0;4;
189.0;2.32;19:47:44:525;0;4;
189.2;2.31;19:47:44:725;0;4;
189.4;2.31;19:47:44:925;0;4;
189.6;2.30;19:47:45:125;0;4;
189.8;2.29;19:47:45:325;0;4;
190.0;2.28;19:47:45:525;0;4;
190.2;2.28;19:47:45:725;0;4;
190.4;2.27;19:47:45:925;0;4;
190.6;2.26;19:47:46:125;0;4;
190.8;2.25;19:47:46:325;0;4;
191.0;2.25;19:47:46:525;0;4;
191.2;2.25;19:47:46:725;0;4;
191.4;2.24;19:47:46:925;0;4;
191.6;2.25;19:47:47:125;0;4;
191.8;2.25;19:47:47:325;0;4;
192.0;2.26;19:47:47:525;0;4;
192.2;2.27;19:47:47:725;0;4;
192.4;2.28;19:47:47:925;0;4;
192.6;2.28;19:47:48:125;0;4;
192.8;2.28;19:47:48:325;0;4;
193.0;2.29;19:47:48:525;0;4;
193.2;2.31;19:47:48:725;0;4;
193.4;2.35;19:47:48:925;0;4;
193.6;2.38;19:47:49:125;0;4;
193.8;2.39;19:47:49:325;0;4;
194.0;2.41;19:47:49:525;0;4;
194.2;2.41;19:47:49:725;0;4;
194.4;2.41;19:47:49:925;0;4;
194.6;2.40;19:47:50:125;0;4;
194.8;2.39;19:47:50:325;0;4;
195.0;2.38;19:47:50:525;0;4;
195.2;2.36;19:47:50:725;0;4;
195.4;2.34;19:47:50:925;0;4;
195.6;2.33;19:47:51:125;0;4;
195.8;2.32;19:47:51:325;0;4;
196.0;2.31;19:47:51:525;0;4;
196.2;2.29;19:47:51:725;0;4;
196.4;2.29;19:47:51:925;0;4;
196.6;2.28;19:47:52:125;0;4;
196.8;2.27;19:47:52:325;0;4;
197.0;2.26;19:47:52:525;0;4;
197.2;2.26;19:47:52:725;0;4;
197.4;2.26;19:47:52:925;0;4;
197.6;2.24;19:47:53:125;0;4;
197.8;2.23;19:47:53:325;0;4;
198.0;2.21;19:47:53:525;0;4;
198.2;2.21;19:47:53:725;0;4;
198.4;2.21;19:47:53:925;0;4;
198.6;2.21;19:47:54:125;0;4;
198.8;2.20;19:47:54:325;0;4;
199.0;2.20;19:47:54:525;0;4;
199.2;2.19;19:47:54:725;0;4;
199.4;2.19;19:47:54:925;0;4;
199.6;2.20;19:47:55:125;0;4;
199.8;2.23;19:47:55:325;0;4;
200.0;2.29;19:47:55:525;0;4;
200.2;2.40;19:47:55:725;0;4;
200.4;2.46;19:47:55:925;0;4;
200.6;2.51;19:47:56:125;0;4;
200.8;2.65;19:47:56:325;0;4;
201.0;2.77;19:47:56:525;0;4;
201.2;2.85;19:47:56:725;0;4;
201.4;2.89;19:47:56:925;0;4;
201.6;2.93;19:47:57:125;0;4;
201.8;2.99;19:47:57:325;0;4;
202.0;3.02;19:47:57:525;0;4;
202.2;3.08;19:47:57:725;0;4;
202.4;3.12;19:47:57:925;0;4;
202.6;3.14;19:47:58:125;0;4;
202.8;3.14;19:47:58:325;0;4;
203.0;3.14;19:47:58:525;0;4;
203.2;3.13;19:47:58:725;0;4;
203.4;3.12;19:47:58:925;0;4;
203.6;3.10;19:47:59:125;0;4;
203.8;3.10;19:47:59:325;0;4;
204.0;3.07;19:47:59:525;0;4;
204.2;3.06;19:47:59:725;0;4;
204.4;3.04;19:47:59:925;0;4;
204.6;3.03;19:48:00:125;0;4;
204.8;3.02;19:48:00:325;0;4;
205.0;3.02;19:48:00:525;0;4;
205.2;2.99;19:48:00:725;0;4;
205.4;2.98;19:48:00:925;0;4;
205.6;2.97;19:48:01:125;0;4;
205.8;2.97;19:48:01:325;1;4;
206.0;2.97;19:48:01:525;1;4;
206.2;2.97;19:48:01:725;1;4;
206.4;2.96;19:48:01:925;1;4;
206.6;2.94;19:48:02:125;1;5;
206.8;2.91;19:48:02:325;1;5;
207.0;2.90;19:48:02:525;1;5;
207.2;2.90;19:48:02:725;1;5;
207.4;2.89;19:48:02:925;1;5;
207.6;2.88;19:48:03:125;1;5;
207.8;2.88;19:48:03:325;0;5;
208.0;2.88;19:48:03:525;0;5;
208.2;2.88;19:48:03:725;0;5;
208.4;2.88;19:48:03:925;0;5;
208.6;2.87;19:48:04:125;0;5;
208.8;2.86;19:48:04:325;0;5;
209.0;2.84;19:48:04:525;0;5;
209.2;2.84;19:48:04:725;0;4;
209.4;2.82;19:48:04:925;0;4;
209.6;2.82;19:48:05:125;0;4;
209.8;2.81;19:48:05:325;0;4;
210.0;2.79;19:48:05:525;0;4;
210.2;2.79;19:48:05:725;0;4;
210.4;2.78;19:48:05:925;0;4;
210.6;2.78;19:48:06:125;0;4;
210.8;2.76;19:48:06:325;0;4;
211.0;2.74;19:48:06:525;0;4;
211.2;2.73;19:48:06:725;0;4;
211.4;2.72;19:48:06:925;0;4;
211.6;2.70;19:48:07:125;0;4;
211.8;2.70;19:48:07:325;0;4;
212.0;2.69;19:48:07:525;0;4;
212.2;2.68;19:48:07:725;0;4;
212.4;2.66;19:48:07:925;0;4;
212.6;2.65;19:48:08:125;0;4;
212.8;2.63;19:48:08:325;0;4;
213.0;2.63;19:48:08:525;0;4;
213.2;2.61;19:48:08:725;0;4;
213.4;2.60;19:48:08:925;0;4;
213.6;2.59;19:48:09:125;0;4;
213.8;2.58;19:48:09:325;0;4;
214.0;2.58;19:48:09:525;0;4;
214.2;2.56;19:48:09:725;0;4;
214.4;2.55;19:48:09:925;0;4;
214.6;2.54;19:48:10:125;0;4;
214.8;2.53;19:48:10:325;0;4;
215.0;2.51;19:48:10:525;0;4;
215.2;2.51;19:48:10:725;0;4;
215.4;2.50;19:48:10:925;0;4;
