Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;Recording-05012021-205648;;;;
DATE (HH:MM:SS);05.01.21 20:56:48;;;;
TIME (HH:MM:SS);00:11:21;;;;
MAXIMUM;5.79 µS;;;;
MINIMUM;2.65 µS;;;;
DIFFERENCE MIN/MAX;3.14 µS;;;;
AVERAGE OF SESSION;3.85 µS;;;;
TIME INCREASE (HH:MM:SS);00:02:39;;;;
TIME STEADY (HH:MM:SS);00:00:50;;;;
TIME DECREASE (HH:MM:SS);00:07:50;;;;
;;;;;
TOTAL SCR;35;;;;
% of SCR OF SESSION;19.1%;;;;
Red hands;0;;;;
Orange hands;17;;;;
Yellow hands;101;;;;
Green hands;18;;;;
0-5 SCR/MIN (HH:MM:SS);00:09:51;;;;
6-9 SCR/MIN (HH:MM:SS);00:01:33;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;1;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
0.0;3.00;20:56:48:491;0;0;
0.2;3.02;20:56:48:691;0;0;
0.4;3.04;20:56:48:891;0;0;
0.6;3.05;20:56:49:091;0;0;
0.8;3.02;20:56:49:291;0;0;
1.0;3.02;20:56:49:491;0;0;
1.2;3.00;20:56:49:691;0;0;
1.4;2.99;20:56:49:891;0;0;
1.6;2.96;20:56:50:091;0;0;
1.8;2.94;20:56:50:291;0;0;
2.0;2.92;20:56:50:491;0;0;
2.2;2.92;20:56:50:691;0;0;
2.4;2.91;20:56:50:891;0;0;
2.6;2.88;20:56:51:091;0;0;
2.8;2.87;20:56:51:291;0;0;
3.0;2.87;20:56:51:491;0;0;
3.2;2.87;20:56:51:691;0;0;
3.4;2.87;20:56:51:891;0;0;
3.6;2.90;20:56:52:091;0;0;
3.8;2.94;20:56:52:291;0;0;
4.0;2.96;20:56:52:491;0;0;
4.2;2.99;20:56:52:691;0;0;
4.4;2.99;20:56:52:891;0;0;
4.6;3.01;20:56:53:091;0;0;
4.8;3.00;20:56:53:291;0;0;
5.0;2.98;20:56:53:491;0;0;
5.2;2.97;20:56:53:691;0;0;
5.4;2.94;20:56:53:891;0;0;
5.6;2.94;20:56:54:091;0;0;
5.8;2.92;20:56:54:291;0;0;
6.0;2.90;20:56:54:491;0;0;
6.2;2.88;20:56:54:691;0;0;
6.4;2.86;20:56:54:891;0;0;
6.6;2.85;20:56:55:091;0;0;
6.8;2.85;20:56:55:291;0;0;
7.0;2.83;20:56:55:491;0;0;
7.2;2.82;20:56:55:691;0;0;
7.4;2.81;20:56:55:891;0;0;
7.6;2.79;20:56:56:091;0;0;
7.8;2.79;20:56:56:291;0;0;
8.0;2.78;20:56:56:491;0;0;
8.2;2.78;20:56:56:691;0;0;
8.4;2.77;20:56:56:891;0;0;
8.6;2.76;20:56:57:091;0;0;
8.8;2.75;20:56:57:291;0;0;
9.0;2.75;20:56:57:491;0;0;
9.2;2.75;20:56:57:691;0;0;
9.4;2.73;20:56:57:891;0;0;
9.6;2.72;20:56:58:091;0;0;
9.8;2.72;20:56:58:291;0;0;
10.0;2.72;20:56:58:491;0;0;
10.2;2.71;20:56:58:691;0;0;
10.4;2.70;20:56:58:891;0;0;
10.6;2.69;20:56:59:091;0;0;
10.8;2.69;20:56:59:291;0;0;
11.0;2.68;20:56:59:491;0;0;
11.2;2.68;20:56:59:691;0;0;
11.4;2.68;20:56:59:891;0;0;
11.6;2.66;20:57:00:091;0;0;
11.8;2.65;20:57:00:291;0;0;
12.0;2.66;20:57:00:491;0;0;
12.2;2.67;20:57:00:691;0;0;
12.4;2.67;20:57:00:891;0;0;
12.6;2.73;20:57:01:091;0;0;
12.8;2.88;20:57:01:291;0;0;
13.0;2.97;20:57:01:491;0;0;
13.2;3.12;20:57:01:691;0;0;
13.4;3.22;20:57:01:891;0;0;
13.6;3.22;20:57:02:091;0;0;
13.8;3.32;20:57:02:291;0;0;
14.0;3.36;20:57:02:491;0;0;
14.2;3.39;20:57:02:691;0;0;
14.4;3.37;20:57:02:891;0;0;
14.6;3.37;20:57:03:091;0;0;
14.8;3.39;20:57:03:291;0;0;
15.0;3.46;20:57:03:491;0;0;
15.2;3.52;20:57:03:691;0;0;
15.4;3.57;20:57:03:891;0;0;
15.6;3.60;20:57:04:091;0;0;
15.8;3.60;20:57:04:291;0;0;
16.0;3.60;20:57:04:491;0;0;
16.2;3.59;20:57:04:691;0;0;
16.4;3.61;20:57:04:891;0;0;
16.6;3.72;20:57:05:091;1;0;
16.8;3.76;20:57:05:291;1;0;
17.0;3.76;20:57:05:491;1;0;
17.2;3.79;20:57:05:691;1;0;
17.4;3.80;20:57:05:891;1;0;
17.6;3.78;20:57:06:091;1;0;
17.8;3.71;20:57:06:291;1;1;
18.0;3.71;20:57:06:491;1;1;
18.2;3.66;20:57:06:691;1;1;
18.4;3.58;20:57:06:891;1;1;
18.6;3.54;20:57:07:091;1;1;
18.8;3.49;20:57:07:291;1;1;
19.0;3.45;20:57:07:491;1;1;
19.2;3.45;20:57:07:691;1;1;
19.4;3.39;20:57:07:891;1;1;
19.6;3.39;20:57:08:091;1;2;
19.8;3.40;20:57:08:291;1;2;
20.0;3.38;20:57:08:491;1;2;
20.2;3.38;20:57:08:691;1;2;
20.4;3.38;20:57:08:891;1;2;
20.6;3.40;20:57:09:091;1;2;
20.8;3.47;20:57:09:291;1;2;
21.0;3.56;20:57:09:491;1;3;
21.2;3.63;20:57:09:691;1;3;
21.4;3.63;20:57:09:891;1;3;
21.6;3.65;20:57:10:091;1;3;
21.8;3.66;20:57:10:291;1;3;
22.0;3.62;20:57:10:491;1;3;
22.2;3.57;20:57:10:691;1;3;
22.4;3.56;20:57:10:891;1;3;
22.6;3.56;20:57:11:091;1;3;
22.8;3.57;20:57:11:291;1;3;
23.0;3.57;20:57:11:491;1;3;
23.2;3.58;20:57:11:691;1;3;
23.4;3.54;20:57:11:891;1;3;
23.6;3.53;20:57:12:091;1;3;
23.8;3.53;20:57:12:291;1;3;
24.0;3.51;20:57:12:491;1;3;
24.2;3.52;20:57:12:691;1;3;
