Device: samsung SM-G970U1; eSense app version: 4.5.91; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;Pulse-06092020-185631;;;;
DATE (HH:MM:SS);06.09.20 18:56:31;;;;
TIME (HH:MM:SS);00:04:46;;;;
MAXIMUM;7.23 µS;;;;
MINIMUM;4.96 µS;;;;
DIFFERENCE MIN/MAX;2.27 µS;;;;
AVERAGE OF SESSION;5.97 µS;;;;
TIME INCREASE (HH:MM:SS);00:01:20;;;;
TIME STEADY (HH:MM:SS);00:00:23;;;;
TIME DECREASE (HH:MM:SS);00:03:02;;;;
;;;;;
TOTAL SCR;24;;;;
% of SCR OF SESSION;20.9%;;;;
Red hands;0;;;;
Orange hands;13;;;;
Yellow hands;41;;;;
Green hands;3;;;;
0-5 SCR/MIN (HH:MM:SS);00:03:41;;;;
6-9 SCR/MIN (HH:MM:SS);00:01:08;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
WHAT IS YOUR POSITION?;SITTING ON A CHAIR;;;;
HOW DO YOU FEEL?;6;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
0.0;4.96;18:56:31:190;0;0;
0.2;5.01;18:56:31:390;0;0;
0.4;5.04;18:56:31:590;0;0;
0.6;5.09;18:56:31:790;0;0;
0.8;5.09;18:56:31:990;0;0;
1.0;5.14;18:56:32:190;0;0;
1.2;5.21;18:56:32:390;0;0;
1.4;5.32;18:56:32:590;0;0;
1.6;5.37;18:56:32:790;0;0;
1.8;5.37;18:56:32:990;0;0;
2.0;5.41;18:56:33:190;0;0;
2.2;5.42;18:56:33:390;0;0;
2.4;5.41;18:56:33:590;0;0;
2.6;5.45;18:56:33:790;0;0;
2.8;5.56;18:56:33:990;0;0;
3.0;5.56;18:56:34:190;0;0;
3.2;5.65;18:56:34:390;0;0;
3.4;5.73;18:56:34:590;0;0;
3.6;5.86;18:56:34:790;0;0;
3.8;5.92;18:56:34:990;0;0;
4.0;6.00;18:56:35:190;0;0;
4.2;6.00;18:56:35:390;0;0;
4.4;6.03;18:56:35:590;0;0;
4.6;6.04;18:56:35:790;0;0;
4.8;6.02;18:56:35:990;0;0;
5.0;5.99;18:56:36:190;0;0;
5.2;5.99;18:56:36:390;0;0;
5.4;5.92;18:56:36:590;0;0;
5.6;5.87;18:56:36:790;0;0;
5.8;5.80;18:56:36:990;0;0;
6.0;5.76;18:56:37:190;0;0;
6.2;5.71;18:56:37:390;0;0;
6.4;5.71;18:56:37:590;0;0;
6.6;5.67;18:56:37:790;0;0;
6.8;5.64;18:56:37:990;0;0;
7.0;5.60;18:56:38:190;0;0;
7.2;5.58;18:56:38:390;0;0;
7.4;5.56;18:56:38:590;1;0;
7.6;5.56;18:56:38:790;1;0;
7.8;5.55;18:56:38:990;1;0;
8.0;5.54;18:56:39:190;1;0;
8.2;5.54;18:56:39:390;1;0;
8.4;5.52;18:56:39:590;1;1;
8.6;5.52;18:56:39:790;1;1;
8.8;5.51;18:56:39:990;1;1;
9.0;5.50;18:56:40:190;1;1;
9.2;5.46;18:56:40:390;0;1;
9.4;5.45;18:56:40:590;0;1;
9.6;5.42;18:56:40:790;0;1;
9.8;5.42;18:56:40:990;0;1;
10.0;5.38;18:56:41:190;0;1;
10.2;5.36;18:56:41:390;0;1;
10.4;5.35;18:56:41:590;0;1;
